XtID,tID,Gene_Symbol
X2707359,2707359,DNAJC19
X3065638,3065638,DNAJC2
X2806256,2806256,DNAJC21
X3325263,3325263,DNAJC24
X3184940,3184940,DNAJC25
X2544565,2544565,DNAJC27
X3929705,3929705,DNAJC28
X3497270,3497270,DNAJC3
X3056211,3056211,DNAJC30
X3334304,3334304,DNAJC4
X3893796,3893796,DNAJC5
X3101475,3101475,DNAJC5B
X2474409,2474409,DNAJC5G
X2340350,2340350,DNAJC6
X3757487,3757487,DNAJC7
X2403470,2403470,DNAJC8
X3294280,3294280,DNAJC9
X3543756,3543756,DNAL1
X3543780,3543780,DNAL1
X3960875,3960875,DNAL4
X2330723,2330723,DNALI1
X3646000,3646000,DNASE1
X4027302,4027302,DNASE1L1
X3851826,3851826,DNASE2
X2344511,2344511,DNASE2B
X2878461,2878461,DND1
X2602770,2602770,DNER
X3318731,3318731,DNHD1
X3318844,3318844,DNHD1
X3229837,3229837,DNLZ
X3190242,3190242,DNM1
X3410695,3410695,DNM1L
X3633609,3633609,DNM1P35
X3636716,3636716,DNM1P41
X3820758,3820758,DNM2
X2367326,2367326,DNM3
X3303165,3303165,DNMBP
X3850069,3850069,DNMT1
X2544662,2544662,DNMT3A
X3882012,3882012,DNMT3B
X2600155,2600155,DNPEP
X3887017,3887017,DNTTIP1
X2423597,2423597,DNTTIP2
X3687363,3687363,DOC2A
X3269939,3269939,DOCK1
X2601648,2601648,DOCK10
X3988435,3988435,DOCK11
X2840036,2840036,DOCK2
X2622970,2622970,DOCK3
X2675570,2675570,DOCK3
X3068097,3068097,DOCK4
X3068282,3068282,DOCK4
X3068322,3068322,DOCK4
X3068329,3068329,DOCK4
X3068339,3068339,DOCK4
X3090512,3090512,DOCK5
X3850725,3850725,DOCK6
X2415910,2415910,DOCK7
X3159330,3159330,DOCK8
X3522398,3522398,DOCK9
X2489440,2489440,DOK1
X3127199,3127199,DOK2
X2888879,2888879,DOK3
X3693214,3693214,DOK4
X3889833,3889833,DOK5
X3792776,3792776,DOK6
X3792874,3792874,DOK6
X3792876,3792876,DOK6
X2716156,2716156,DOK7
X3226789,3226789,DOLK
X3190925,3190925,DOLPP1
X2949588,2949588,DOM3Z
X3929775,3929775,DONSON
X2915268,2915268,DOPEY1
X2962755,2962755,DOPEY1
X2962767,2962767,DOPEY1
X3919860,3919860,DOPEY2
X3816264,3816264,DOT1L
X3394192,3394192,DPAGT1
X3261255,3261255,DPCD
X3674249,3674249,DPEP1
X3861243,3861243,DPF1
X3335089,3335089,DPF2
X3571059,3571059,DPF3
X3706071,3706071,DPH1
X2333635,2333635,DPH2
X2664607,2664607,DPH3
X2349086,2349086,DPH5
X2425447,2425447,DPH5
X3909395,3909395,DPM1
X3226237,3226237,DPM2
X2437086,2437086,DPM3
X2501835,2501835,DPP10
X2502067,2502067,DPP10
X3336238,3336238,DPP3
X2584018,2584018,DPP4
X3032647,3032647,DPP6
X3230811,3230811,DPP7
X3629698,3629698,DPP8
X3846926,3846926,DPP9
X2688180,2688180,DPPA4
X2443120,2443120,DPT
X3045424,3045424,DPY19L1
X3044812,3044812,DPY19L1P1
X3045496,3045496,DPY19L2P1
X3065546,3065546,DPY19L2P2
X3065595,3065595,DPY19L2P2
X3065599,3065599,DPY19L2P2
X3065601,3065601,DPY19L2P2
X3011830,3011830,DPY19L2P4
X3828949,3828949,DPY19L3
X3107606,3107606,DPY19L4
X2547386,2547386,DPY30
X3147926,3147926,DPYS
X3091077,3091077,DPYSL2
X2880292,2880292,DPYSL3
X3271910,3271910,DPYSL4
X2474019,2474019,DPYSL5
X2560229,2560229,DQX1
X2347096,2347096,DR1
X3428783,3428783,DRAM1
X2427720,2427720,DRAM2
X3335736,3335736,DRAP1
X2888010,2888010,DRD1
X3391653,3391653,DRD2
X2689378,2689378,DRD3
X3942954,3942954,DRG1
X3712949,3712949,DRG2
X3288637,3288637,DRGX
X3984702,3984702,DRP2
X3984744,3984744,DRP2
X3984746,3984746,DRP2
X3803020,3803020,DSC1
X3802980,3802980,DSC2
X3932524,3932524,DSCAM
X3393311,3393311,DSCAML1
X3150715,3150715,DSCC1
X3920844,3920844,DSCR10
X3931329,3931329,DSCR3
X3920367,3920367,DSCR6
X3920816,3920816,DSCR8
X3920512,3920512,DSCR9
X2922631,2922631,DSE
X3812074,3812074,DSEL
X3783398,3783398,DSG1
X3783529,3783529,DSG2
X3783435,3783435,DSG4
X3904566,3904566,DSN1
X2893794,2893794,DSP
X2735073,2735073,DSPP
X2958325,2958325,DST
X3878025,3878025,DSTN
X2452348,2452348,DSTYK
X3878533,3878533,DTD1
X2723409,2723409,DTHD1
X2378937,2378937,DTL
X3784208,3784208,DTNA
X2544781,2544781,DTNB
X2943236,2943236,DTNBP1
X3593452,3593452,DTWD1
X2872471,2872471,DTWD2
X3432556,3432556,DTX1
X3009472,3009472,DTX2
X3418329,3418329,DTX3
X2638962,2638962,DTX3L
X3331953,3331953,DTX4
X3592214,3592214,DUOX1
X3622176,3622176,DUOX2
X3622239,3622239,DUOXA1
X3774593,3774593,DUS1L
X3665997,3665997,DUS2L
X3847420,3847420,DUS3L
X3018509,3018509,DUS4L
X2887309,2887309,DUSP1
X2457261,2457261,DUSP10
X2559649,2559649,DUSP11
X2363902,2363902,DUSP12
X3295267,3295267,DUSP13
X3719515,3719515,DUSP14
X3444958,3444958,DUSP16
X3957486,3957486,DUSP18
X2518729,2518729,DUSP19
X2565119,2565119,DUSP2
X2891241,2891241,DUSP22
X2362702,2362702,DUSP23
X3130872,3130872,DUSP26
X2535814,2535814,DUSP28
X3758615,3758615,DUSP3
X3129731,3129731,DUSP4
X3263743,3263743,DUSP5
X2384375,2384375,DUSP5P
X3464860,3464860,DUSP6
X2675925,2675925,DUSP7
X3358854,3358854,DUSP8
X3593147,3593147,DUT
X2391425,2391425,DVL1
X3743440,3743440,DVL2
X2655438,2655438,DVL3
X3297666,3297666,DYDC1
X3254468,3254468,DYDC2
X3807370,3807370,DYM
X3552847,3552847,DYNC1H1
X3013565,3013565,DYNC1I1
X2515276,2515276,DYNC1I2
X2668035,2668035,DYNC1LI1
X3695199,3695199,DYNC1LI2
X3346766,3346766,DYNC2H1
X2479510,2479510,DYNC2LI1
X3434393,3434393,DYNLL1
X3728509,3728509,DYNLL2
X3882949,3882949,DYNLRB1
X3670505,3670505,DYNLRB2
X2981874,2981874,DYNLT1
X4004819,4004819,DYNLT3
X3920566,3920566,DYRK1A
X3862128,3862128,DYRK1B
X3420854,3420854,DYRK2
X2376894,2376894,DYRK3
X3401828,3401828,DYRK4
X2488252,2488252,DYSF
X3625391,3625391,DYX1C1
X3521372,3521372,DZIP1
X2697231,2697231,DZIP1L
X2635263,2635263,DZIP3
X3903146,3903146,E2F1
X2897576,2897576,E2F3
X3665288,3665288,E2F4
X3105467,3105467,E2F5
X2540578,2540578,E2F6
X3644625,3644625,E4F1
X2612371,2612371,EAF1
X2638676,2638676,EAF2
X3560575,3560575,EAPP
X3685261,3685261,EARS2
X3111695,3111695,EBAG9
X2883878,2883878,EBF1
X3128411,3128411,EBF2
X3313122,3313122,EBF3
X3873923,3873923,EBF4
X2409220,2409220,EBNA1BP2
X3976670,3976670,EBP
X3294242,3294242,ECD
X2400518,2400518,ECE1
X2655606,2655606,ECE2
X2603844,2603844,ECEL1
X3861581,3861581,ECH1
X2973168,2973168,ECHDC1
X2413032,2413032,ECHDC2
X3235255,3235255,ECHDC3
X3315231,3315231,ECHS1
X2358360,2358360,ECM1
X3214867,3214867,ECM2
X2877984,2877984,ECSCR
X3851020,3851020,ECSIT
X2652675,2652675,ECT2
X2927892,2927892,ECT2L
X2927918,2927918,ECT2L
X3980380,3980380,EDA
X4011096,4011096,EDA2R
X3633048,3633048,EDC3
X3665882,3665882,EDC4
X2608801,2608801,EDEM1
X3903778,3903778,EDEM2
X3903836,3903836,EDEM2
X2447824,2447824,EDEM3
X3230490,3230490,EDF1
X2865390,2865390,EDIL3
X2895244,2895244,EDN1
X3891447,3891447,EDN3
X2746591,2746591,EDNRA
X3518766,3518766,EDNRB
X3465593,3465593,EEA1
X3343202,3343202,EED
X2960903,2960903,EEF1A1
X2618217,2618217,EEF1A1P24
X3884100,3884100,EEF1A2
X3913892,3913892,EEF1A2
X2524577,2524577,EEF1B2
X3157596,3157596,EEF1D
X3484436,3484436,EEF1DP3
X2940920,2940920,EEF1E1
X3375805,3375805,EEF1G
X3846538,3846538,EEF2
X3652424,3652424,EEF2K
X2641083,2641083,EEFSEC
X2997272,2997272,EEPD1
X3134468,3134468,EFCAB1
X2389130,2389130,EFCAB2
X2389214,2389214,EFCAB2
X2389239,2389239,EFCAB2
X2464594,2464594,EFCAB2
X3316311,3316311,EFCAB4A
X3440921,3440921,EFCAB4B
X3716259,3716259,EFCAB5
X3962997,3962997,EFCAB6
X2339740,2339740,EFCAB7
X3882119,3882119,EFCAB8
X2554018,2554018,EFEMP1
X3377933,3377933,EFEMP2
X3504791,3504791,EFHA1
X3087438,3087438,EFHA2
X2665472,2665472,EFHB
X2910236,2910236,EFHC1
X4006326,4006326,EFHC2
X2532480,2532480,EFHD1
X2321779,2321779,EFHD2
X2360677,2360677,EFNA1
X2360647,2360647,EFNA3
X2437069,2437069,EFNA4
X2869880,2869880,EFNA5
X3980170,3980170,EFNB1
X3524570,3524570,EFNB2
X3708991,3708991,EFNB3
X3116320,3116320,EFR3A
X2473376,2473376,EFR3B
X2544625,2544625,EFR3B
X3557408,3557408,EFS
X3635776,3635776,EFTUD1
X3759356,3759356,EFTUD2
X2739308,2739308,EGF
X3969358,3969358,EGFL6
X3194470,3194470,EGFL7
X2903075,2903075,EGFL8
X2807195,2807195,EGFLAM
X3002640,3002640,EGFR
X2460551,2460551,EGLN1
X3833827,3833827,EGLN2
X3560403,3560403,EGLN3
X2830861,2830861,EGR1
X3291601,3291601,EGR2
X3127584,3127584,EGR3
X2559558,2559558,EGR4
X2484970,2484970,EHBP1
X3335350,3335350,EHBP1L1
X3377226,3377226,EHD1
X3837431,3837431,EHD2
X2475911,2475911,EHD3
X3620276,3620276,EHD4
X3326461,3326461,EHF
X2708720,2708720,EHHADH
X3195400,3195400,EHMT1
X2949524,2949524,EHMT2
X3354731,3354731,EI24
X3593261,3593261,EID1
X3862077,3862077,EID2
X3862068,3862068,EID2B
X3429555,3429555,EID3
X3721400,3721400,EIF1
X3378024,3378024,EIF1AD
X4002148,4002148,EIF1AX
X4031136,4031136,EIF1AY
X2618598,2618598,EIF1B
X2647742,2647742,EIF2A
X3037193,3037193,EIF2AK1
X2548402,2548402,EIF2AK2
X2563654,2563654,EIF2AK3
X3589570,3589570,EIF2AK4
X3476265,3476265,EIF2B1
X3544387,3544387,EIF2B2
X2409904,2409904,EIF2B3
X2545750,2545750,EIF2B4
X2655387,2655387,EIF2B5
X2330075,2330075,EIF2C1
X3156193,3156193,EIF2C2
X2330133,2330133,EIF2C3
X2330002,2330002,EIF2C4
X3541137,3541137,EIF2S1
X3903288,3903288,EIF2S2
X3971877,3971877,EIF2S3
X3309215,3309215,EIF3A
X2987441,2987441,EIF3B
X3959631,3959631,EIF3D
X3148582,3148582,EIF3E
X3319287,3319287,EIF3F
X3850040,3850040,EIF3G
X3149754,3149754,EIF3H
X2328808,2328808,EIF3I
X3591963,3591963,EIF3J
X3832616,3832616,EIF3K
X3861461,3861461,EIF3K
X3945056,3945056,EIF3L
X3325680,3325680,EIF3M
X3708826,3708826,EIF4A1
X3415793,3415793,EIF4A1P4
X2656738,2656738,EIF4A2
X3773312,3773312,EIF4A3
X3415621,3415621,EIF4B
X3455946,3455946,EIF4B
X2639044,2639044,EIF4BP8
X2778980,2778980,EIF4E
X2842687,2842687,EIF4E1B
X2532422,2532422,EIF4E2
X2682088,2682088,EIF4E3
X3250699,3250699,EIF4EBP2
X3957873,3957873,EIF4ENIF1
X2655688,2655688,EIF4G1
X3362719,3362719,EIF4G2
X2400373,2400373,EIF4G3
X3008144,3008144,EIF4H
X3553607,3553607,EIF5
X2705164,2705164,EIF5A2
X2495881,2495881,EIF5B
X3788270,3788270,ELAC1
X3746040,3746040,ELAC2
X3815233,3815233,ELANE
X3848689,3848689,ELAVL1
X3201784,3201784,ELAVL2
X3850960,3850960,ELAVL3
X2335671,2335671,ELAVL4
X3511031,3511031,ELF1
X2786462,2786462,ELF2
X2375011,2375011,ELF3
X3369117,3369117,ELF5
X2987263,2987263,ELFN1
X3960098,3960098,ELFN2
X4007186,4007186,ELK1
X3427098,3427098,ELK3
X2452571,2452571,ELK4
X3855011,3855011,ELL
X2867873,2867873,ELL2
X3621623,3621623,ELL3
X3046197,3046197,ELMO1
X3907830,3907830,ELMO2
X3347431,3347431,ELMOD1
X2745067,2745067,ELMOD2
X2491523,2491523,ELMOD3
X3008019,3008019,ELN
X3851055,3851055,ELOF1
X2409310,2409310,ELOVL1
X2941721,2941721,ELOVL2
X2962113,2962113,ELOVL4
X2957596,2957596,ELOVL5
X2781813,2781813,ELOVL6
X2858636,2858636,ELOVL7
X3784727,3784727,ELP2
X3705516,3705516,ELP2P
X3091628,3091628,ELP3
X3325307,3325307,ELP4
X2419432,2419432,ELTD1
X2856044,2856044,EMB
X2779543,2779543,EMCN
X3996289,3996289,EMD
X3726375,3726375,EME1
X3644142,3644142,EME2
X3403140,3403140,EMG1
X3941848,3941848,EMID1
X3016262,3016262,EMID2
X2474223,2474223,EMILIN1
X3776279,3776279,EMILIN2
X3906129,3906129,EMILIN3
X3551485,3551485,EML1
X3865511,3865511,EML2
X3375894,3375894,EML3
X2478748,2478748,EML4
X3575371,3575371,EML5
X2482709,2482709,EML6
X3405748,3405748,EMP1
X3679959,3679959,EMP2
X3837731,3837731,EMP3
X3818596,3818596,EMR1
X3852880,3852880,EMR2
X3852832,3852832,EMR3
X3848189,3848189,EMR4P
X2488596,2488596,EMX1
X3266408,3266408,EMX2
X3308685,3308685,EMX2OS
X2572909,2572909,EN1
X3033307,3033307,EN2
X2458338,2458338,ENAH
X2730503,2730503,ENAM
X2862696,2862696,ENC1
X3345427,3345427,ENDOD1
X3190762,3190762,ENDOG
X3452664,3452664,ENDOU
X3226097,3226097,ENG
X3736666,3736666,ENGASE
X3204061,3204061,ENHO
X3281762,3281762,ENKUR
X2395490,2395490,ENO1
X3403015,3403015,ENO2
X3707383,3707383,ENO3
X2733767,2733767,ENOPH1
X3795866,3795866,ENOSF1
X3511817,3511817,ENOX1
X4021633,4021633,ENOX2
X2739468,2739468,ENPEP
X2925953,2925953,ENPP1
X3150579,3150579,ENPP2
X2925871,2925871,ENPP3
X2909020,2909020,ENPP4
X2955673,2955673,ENPP5
X2796224,2796224,ENPP6
X2434490,2434490,ENSA
X3259253,3259253,ENTPD1
X3230733,3230733,ENTPD2
X2618620,2618620,ENTPD3
X3127878,3127878,ENTPD4
X3571667,3571667,ENTPD5
X3880706,3880706,ENTPD6
X3260383,3260383,ENTPD7
X4051723,4051723,ENTPD8
X3111530,3111530,ENY2
X2667024,2667024,EOMES
X3946615,3946615,EP300
X3438617,3438617,EP400
X3438772,3438772,EP400NL
X2480383,2480383,EPAS1
X2327677,2327677,EPB41
X2403707,2403707,EPB41
X3883690,3883690,EPB41L1
X2973995,2973995,EPB41L2
X3797032,3797032,EPB41L3
X2824089,2824089,EPB41L4A
X2870964,2870964,EPB41L4A
X3219788,3219788,EPB41L4B
X2503109,2503109,EPB41L5
X3621029,3621029,EPB42
X3089102,3089102,EPB49
X3284073,3284073,EPC1
X3284138,3284138,EPC1
X2509832,2509832,EPC2
X2480961,2480961,EPCAM
X2997907,2997907,EPDR1
X3077321,3077321,EPHA1
X2407314,2407314,EPHA10
X2397948,2397948,EPHA2
X2632225,2632225,EPHA3
X2600689,2600689,EPHA4
X2771342,2771342,EPHA5
X2632778,2632778,EPHA6
X2632830,2632830,EPHA6
X2632832,2632832,EPHA6
X2965206,2965206,EPHA7
X2324820,2324820,EPHA8
X2643592,2643592,EPHB1
X2696475,2696475,EPHB1
X2324919,2324919,EPHB2
X2655845,2655845,EPHB3
X3064293,3064293,EPHB4
X3028858,3028858,EPHB6
X2382970,2382970,EPHX1
X3091403,3091403,EPHX2
X2346625,2346625,EPHX4
X2977949,2977949,EPM2A
X2669157,2669157,EPM2AIP1
X3842379,3842379,EPN1
X3713794,3713794,EPN2
X3726537,3726537,EPN3
X3726567,3726567,EPN3
X3850859,3850859,EPOR
X3157887,3157887,EPPK1
X3157891,3157891,EPPK1
X3157897,3157897,EPPK1
X2456746,2456746,EPRS
X2412360,2412360,EPS15
X3853814,3853814,EPS15L1
X3445908,3445908,EPS8
X3316149,3316149,EPS8L2
X2427231,2427231,EPS8L3
X3511698,3511698,EPSTI1
X2473784,2473784,EPT1
X3465207,3465207,EPYC
X3715874,3715874,ERAL1
X2868131,2868131,ERAP1
X2821347,2821347,ERAP2
X3976911,3976911,ERAS
X3720402,3720402,ERBB2
X2812435,2812435,ERBB2IP
X3417249,3417249,ERBB3
X2597552,2597552,ERBB4
X3400413,3400413,ERC1
X2677388,2677388,ERC2
X3865378,3865378,ERCC1
X3865301,3865301,ERCC2
X2574752,2574752,ERCC3
X3648995,3648995,ERCC4
X3499632,3499632,ERCC5
X3288704,3288704,ERCC6
X3288707,3288707,ERCC6
X2858668,2858668,ERCC8
X2858752,2858752,ERCC8
X3863547,3863547,ERF
X3931765,3931765,ERG
X2841184,2841184,ERGIC1
X3448975,3448975,ERGIC2
X3883382,3883382,ERGIC3
X3570049,3570049,ERH
X3085065,3085065,ERI1
X3683806,3683806,ERI2
X2409613,2409613,ERI3
X3121228,3121228,ERICH1
X2482230,2482230,ERLEC1
X3914726,3914726,ERLEC1P1
X3303255,3303255,ERLIN1
X3094245,3094245,ERLIN2
X2332812,2332812,ERMAP
X2582368,2582368,ERMN
X3197687,3197687,ERMP1
X3766651,3766651,ERN1
X3685373,3685373,ERN2
X3564790,3564790,ERO1L
X2462327,2462327,ERO1LB
X2462329,2462329,ERO1LB
X3432225,3432225,ERP29
X3217736,3217736,ERP44
X2395177,2395177,ERRFI1
X3053380,3053380,ERV3
X2941757,2941757,ERVFRDE1
X3084854,3084854,ERVK2
X3396107,3396107,ESAM
X3800779,3800779,ESCO1
X3091554,3091554,ESCO2
X3513096,3513096,ESD
X3898224,3898224,ESF1
X3415857,3415857,ESPL1
X2318257,2318257,ESPN
X2534664,2534664,ESPNL
X2931763,2931763,ESR1
X3568184,3568184,ESR2
X3107548,3107548,ESRP1
X3696226,3696226,ESRP2
X3334484,3334484,ESRRA
X3545022,3545022,ESRRB
X2455933,2455933,ESRRG
X3417371,3417371,ESYT1
X3082248,3082248,ESYT2
X2644619,2644619,ESYT3
X2644684,2644684,ESYT3
X2486520,2486520,ETAA1
X2877465,2877465,ETF1
X3633794,3633794,ETFA
X3868963,3868963,ETFB
X2749560,2749560,ETFDH
X3864430,3864430,ETHE1
X3408018,3408018,ETNK1
X2451870,2451870,ETNK2
X3397589,3397589,ETS1
X3921068,3921068,ETS2
X3039175,3039175,ETV1
X3039177,3039177,ETV1
X2438792,2438792,ETV3
X2709132,2709132,ETV5
X3405032,3405032,ETV6
X3752271,3752271,EVI2A
X3752258,3752258,EVI2B
X2423017,2423017,EVI5
X3819200,3819200,EVI5L
X3551566,3551566,EVL
X3771259,3771259,EVPL
X2994193,2994193,EVX1
X2588369,2588369,EVX2
X3941907,3941907,EWSR1
X3619887,3619887,EXD1
X3541937,3541937,EXD2
X4051619,4051619,EXD3
X2727913,2727913,EXOC1
X2938196,2938196,EXOC2
X2798679,2798679,EXOC3
X3865248,3865248,EXOC3L2
X3025005,3025005,EXOC4
X3566302,3566302,EXOC5
X3566304,3566304,EXOC5
X3258260,3258260,EXOC6
X2559241,2559241,EXOC6B
X3735392,3735392,EXOC7
X3771336,3771336,EXOC7
X2460519,2460519,EXOC8
X2617796,2617796,EXOG
X3302328,3302328,EXOSC1
X2396480,2396480,EXOSC10
X3191695,3191695,EXOSC2
X3205586,3205586,EXOSC3
X3120008,3120008,EXOSC4
X3863060,3863060,EXOSC5
X3696968,3696968,EXOSC6
X3697005,3697005,EXOSC6
X2620410,2620410,EXOSC7
X3485863,3485863,EXOSC8
X2741768,2741768,EXOSC9
X3390193,3390193,EXPH5
X3390195,3390195,EXPH5
X3150060,3150060,EXT1
X3328389,3328389,EXT2
X2326237,2326237,EXTL1
X2425400,2425400,EXTL2
X3091797,3091797,EXTL3
X3140037,3140037,EYA1
X3887479,3887479,EYA2
X2403335,2403335,EYA3
X2926323,2926323,EYA4
X2959313,2959313,EYS
X2959319,2959319,EYS
X2959545,2959545,EYS
X3758078,3758078,EZH1
X3078348,3078348,EZH2
X2981912,2981912,EZR
X2755154,2755154,F11
X2797311,2797311,F11
X2440476,2440476,F11R
X2940202,2940202,F13A1
X3329475,3329475,F2
X2816459,2816459,F2R
X2863363,2863363,F2RL2
X2423907,2423907,F3
X2443370,2443370,F5
X3502411,3502411,F7
X4027639,4027639,F8
X4027813,4027813,F8A1
X3699133,3699133,FA2H
X2334740,2334740,FAAH
X3979101,3979101,FAAH2
X2404418,2404418,FABP3
X2838116,2838116,FABP6
X2923928,2923928,FABP7
X3142362,3142362,FABP9
X3338424,3338424,FADD
X3375541,3375541,FADS1
X3375543,3375543,FADS1
X3375545,3375545,FADS1
X3333247,3333247,FADS2
X3375582,3375582,FADS3
X3770488,3770488,FADS6
X2412082,2412082,FAF1
X2842570,2842570,FAF2
X3603932,3603932,FAH
X3644191,3644191,FAHD1
X2644702,2644702,FAIM
X3454157,3454157,FAIM2
X2452977,2452977,FAIM3
X3678231,3678231,FAM100A
X3735447,3735447,FAM100B
X3436329,3436329,FAM101A
X3739642,3739642,FAM101B
X3226253,3226253,FAM102A
X2350237,2350237,FAM102B
X3605231,3605231,FAM103A1
X3769969,3769969,FAM104A
X4009893,4009893,FAM104B
X2802696,2802696,FAM105A
X2802720,2802720,FAM105A
X2802739,2802739,FAM105B
X2802761,2802761,FAM105B
X2802764,2802764,FAM105B
X3748432,3748432,FAM106A
X2678448,2678448,FAM107A
X3278813,3278813,FAM107B
X3845581,3845581,FAM108A1
X3209497,3209497,FAM108B1
X3604113,3604113,FAM108C1
X3471538,3471538,FAM109A
X3947302,3947302,FAM109B
X3873338,3873338,FAM110A
X3099566,3099566,FAM110B
X2537052,2537052,FAM110C
X2537040,2537040,FAM110C
X3331926,3331926,FAM111A
X3895152,3895152,FAM113A
X3413067,3413067,FAM113B
X2724094,2724094,FAM114A1
X2882555,2882555,FAM114A2
X3077502,3077502,FAM115A
X3029230,3029230,FAM115C
X2678116,2678116,FAM116A
X3761989,3761989,FAM117A
X2523354,2523354,FAM117B
X3948543,3948543,FAM118A
X3355021,3355021,FAM118B
X2596689,2596689,FAM119A
X3418534,3418534,FAM119B
X3179872,3179872,FAM120A
X3179956,3179956,FAM120A
X3179960,3179960,FAM120A
X3215245,3215245,FAM120AOS
X2937856,2937856,FAM120B
X4009558,4009558,FAM120C
X4009560,4009560,FAM120C
X3173748,3173748,FAM122A
X4022781,4022781,FAM122B
X3991814,3991814,FAM122C
X3506093,3506093,FAM123A
X4010602,4010602,FAM123B
X4010638,4010638,FAM123B
X4010640,4010640,FAM123B
X4010642,4010642,FAM123B
X4010644,4010644,FAM123B
X2505793,2505793,FAM123C
X3490073,3490073,FAM124A
X3824316,3824316,FAM125A
X3189422,3189422,FAM125B
X3041294,3041294,FAM126A
X2594623,2594623,FAM126B
X2594627,2594627,FAM126B
X3991889,3991889,FAM127A
X4022925,4022925,FAM127B
X4022885,4022885,FAM127C
X2576554,2576554,FAM128A
X2505386,2505386,FAM128B
X2447877,2447877,FAM129A
X3225952,3225952,FAM129B
X3824427,3824427,FAM129C
X2655755,2655755,FAM131A
X3077273,3077273,FAM131B
X2397926,2397926,FAM131C
X2534717,2534717,FAM132B
X3983717,3983717,FAM133A
X3061268,3061268,FAM133B
X2528275,2528275,FAM134A
X2849992,2849992,FAM134B
X3757990,3757990,FAM134C
X2912777,2912777,FAM135A
X3155489,3155489,FAM135B
X2558595,2558595,FAM136A
X2777487,2777487,FAM13A
X2777560,2777560,FAM13A
X2777564,2777564,FAM13A
X2735533,2735533,FAM13AOS
X2830567,2830567,FAM13B
X2877171,2877171,FAM13B
X3290649,3290649,FAM13C
X2754974,2754974,FAM149A
X3251648,3251648,FAM149B1
X3610357,3610357,FAM149B2
X2537171,2537171,FAM150B
X2413846,2413846,FAM151A
X2817793,2817793,FAM151B
X2889241,2889241,FAM153A
X2842351,2842351,FAM153B
X3200564,3200564,FAM154A
X3604554,3604554,FAM154B
X3524779,3524779,FAM155A
X3980329,3980329,FAM155B
X3978087,3978087,FAM156A
X4009025,4009025,FAM156A
X3557791,3557791,FAM158A
X2336456,2336456,FAM159A
X2747499,2747499,FAM160A1
X3360772,3360772,FAM160A2
X3265432,3265432,FAM160B1
X3089140,3089140,FAM160B2
X2555604,2555604,FAM161A
X3571634,3571634,FAM161B
X2638886,2638886,FAM162A
X2971185,2971185,FAM162B
X2369713,2369713,FAM163A
X4051094,4051094,FAM163B
X3104323,3104323,FAM164A
X3544441,3544441,FAM164C
X3919124,3919124,FAM165B
X4051521,4051521,FAM166A
X3124388,3124388,FAM167A
X2328837,2328837,FAM167B
X3381540,3381540,FAM168A
X2576281,2576281,FAM168B
X2815884,2815884,FAM169A
X2815886,2815886,FAM169A
X2862784,2862784,FAM169A
X3641112,3641112,FAM169B
X2825796,2825796,FAM170A
X3279154,3279154,FAM171A1
X3759105,3759105,FAM171A2
X2519294,2519294,FAM171B
X2867145,2867145,FAM172A
X3643347,3643347,FAM173A
X2848233,2848233,FAM173B
X2821981,2821981,FAM174A
X3639406,3639406,FAM174B
X2734018,2734018,FAM175A
X2776088,2776088,FAM175A
X3269280,3269280,FAM175B
X2560625,2560625,FAM176A
X2406662,2406662,FAM176B
X3532353,3532353,FAM177A1
X3260829,3260829,FAM178A
X2565634,2565634,FAM178B
X2475348,2475348,FAM179A
X3534128,3534128,FAM179B
X3384248,3384248,FAM181B
X3881045,3881045,FAM182A
X3902122,3902122,FAM182B
X2971724,2971724,FAM184A
X2762404,2762404,FAM184B
X3016953,3016953,FAM185A
X3279410,3279410,FAM188A
X2995491,2995491,FAM188B
X2700871,2700871,FAM188B2
X2700878,2700878,FAM188B2
X2700880,2700880,FAM188B2
X3615455,3615455,FAM189A1
X3173974,3173974,FAM189A2
X2437273,2437273,FAM189B
X3647956,3647956,FAM18A
X3680060,3680060,FAM18A
X3713539,3713539,FAM18B
X3746734,3746734,FAM18B2
X2735815,2735815,FAM190A
X2736008,2736008,FAM190A
X3255402,3255402,FAM190B
X3693083,3693083,FAM192A
X2715476,2715476,FAM193A
X2700780,2700780,FAM194A
X4041300,4041300,FAM195B
X3312241,3312241,FAM196A
X2886505,2886505,FAM196B
X4034401,4034401,FAM197Y1
X2619521,2619521,FAM198A
X2791419,2791419,FAM198B
X3985866,3985866,FAM199X
X3985886,3985886,FAM199X
X2628482,2628482,FAM19A1
X3459434,3459434,FAM19A2
X2352338,2352338,FAM19A3
X2681044,2681044,FAM19A4
X3949722,3949722,FAM19A5
X3063368,3063368,FAM200A
X2719593,2719593,FAM200B
X3768535,3768535,FAM20A
X2369463,2369463,FAM20B
X3246528,3246528,FAM21A
X3245243,3245243,FAM21B
X3244742,3244742,FAM21C
X2922715,2922715,FAM26E
X3714896,3714896,FAM27L
X3823613,3823613,FAM32A
X3256279,3256279,FAM35A
X2389062,2389062,FAM36A
X2464484,2464484,FAM36A
X2464487,2464487,FAM36A
X3704376,3704376,FAM38A
X3798778,3798778,FAM38B
X3798829,3798829,FAM38B
X4027387,4027387,FAM3A
X2678468,2678468,FAM3D
X2351171,2351171,FAM40A
X3023483,3023483,FAM40B
X2658785,2658785,FAM43A
