XtID,tID,Gene_Symbol
X3299504,3299504,ACTA2
X3036924,3036924,ACTB
X3617719,3617719,ACTC1
X3773932,3773932,ACTG1
X2489007,2489007,ACTG2
X2654023,2654023,ACTL6A
X3064204,3064204,ACTL6B
X3219543,3219543,ACTL7B
X3569814,3569814,ACTN1
X2386943,2386943,ACTN2
X3832643,3832643,ACTN4
X3537813,3537813,ACTR10
X3304406,3304406,ACTR1A
X2566021,2566021,ACTR1B
X2485784,2485784,ACTR2
X2501697,2501697,ACTR3
X3032446,3032446,ACTR3B
X3078948,3078948,ACTR3C
X3884800,3884800,ACTR5
X3428088,3428088,ACTR6
X2676901,2676901,ACTR8
X2582562,2582562,ACVR1
X3415148,3415148,ACVR1B
X2582560,2582560,ACVR1C
X2582506,2582506,ACVR1C
X2509557,2509557,ACVR2A
X2509610,2509610,ACVR2A
X2617752,2617752,ACVR2B
X2617779,2617779,ACVR2B
X2617781,2617781,ACVR2B
X2617783,2617783,ACVR2B
X2617786,2617786,ACVR2B
X2617788,2617788,ACVR2B
X2617791,2617791,ACVR2B
X2617793,2617793,ACVR2B
X2623441,2623441,ACY1
X3379063,3379063,ACY3
X3572263,3572263,ACYP1
X2482316,2482316,ACYP2
X3907011,3907011,ADA
X3671651,3671651,ADAD2
X3591365,3591365,ADAL
X3626555,3626555,ADAM10
X3723128,3723128,ADAM11
X3311832,3311832,ADAM12
X2360576,2360576,ADAM15
X2539821,2539821,ADAM17
X3095152,3095152,ADAM18
X2883440,2883440,ADAM19
X3570526,3570526,ADAM20
X3542445,3542445,ADAM21
X3011492,3011492,ADAM22
X2524653,2524653,ADAM23
X3090209,3090209,ADAM28
X3095057,3095057,ADAM32
X3895552,3895552,ADAM33
X3132393,3132393,ADAM3A
X3095114,3095114,ADAM5P
X3090326,3090326,ADAM7
X3315024,3315024,ADAM8
X3095002,3095002,ADAM9
X3090294,3090294,ADAMDEC1
X3927446,3927446,ADAMTS1
X3849117,3849117,ADAMTS10
X2852591,2852591,ADAMTS12
X3356328,3356328,ADAMTS15
X2800026,2800026,ADAMTS16
X3641633,3641633,ADAMTS17
X3700158,3700158,ADAMTS18
X2827772,2827772,ADAMTS19
X2889916,2889916,ADAMTS2
X2772876,2772876,ADAMTS3
X2440700,2440700,ADAMTS4
