"","scorecutoff","tissue","which.one","gene","ensgene","module","p.val.mods"
"ENSG00000135709","1","cogdnotxad","rosmap","ENSG00000135709","ENSG00000135709","lightyellow","0.05217"
"ENSG00000047578","1","cogdnotxad","rosmap","ENSG00000047578","ENSG00000047578","lightyellow","0.05217"
"KIAA1576","1","cogdnotxad","rosmap","KIAA1576","KIAA1576","void","1"
"KIAA1609","1","cogdnotxad","rosmap","KIAA1609","KIAA1609","void","1"
"ENSG00000140859","1","cogdnotxad","rosmap","ENSG00000140859","ENSG00000140859","skyblue3","0.03455"
"ENSG00000104731","1","cogdnotxad","rosmap","ENSG00000104731","ENSG00000104731","turquoise","1"
"ENSG00000135686","1","cogdnotxad","rosmap","ENSG00000135686","ENSG00000135686","grey60","1"
"Klkbl4","1","cogdnotxad","rosmap","Klkbl4","Klkbl4","void","1"
"ENSG00000131650","1","cogdnotxad","rosmap","ENSG00000131650","ENSG00000131650","void","1"
"ENSG00000213658","1","cogdnotxad","rosmap","ENSG00000213658","ENSG00000213658","paleturquoise","1"
"ENSG00000213398","1","cogdnotxad","rosmap","ENSG00000213398","ENSG00000213398","lightcyan1","0.1708"
"ENSG00000205629","1","cogdnotxad","rosmap","ENSG00000205629","ENSG00000205629","floralwhite","0.6928"
"ENSG00000166816","1","cogdnotxad","rosmap","ENSG00000166816","ENSG00000166816","lightcyan","0.8078"
"ENSG00000189067","1","cogdnotxad","rosmap","ENSG00000189067","ENSG00000189067","black","2.599e-11"
"ENSG00000103227","1","cogdnotxad","rosmap","ENSG00000103227","ENSG00000103227","turquoise","1"
"LOC100130958","1","cogdnotxad","rosmap","LOC100130958","LOC100130958","void","1"
"LOC124220","1","cogdnotxad","rosmap","LOC124220","LOC124220","void","1"
"LOC146325","1","cogdnotxad","rosmap","LOC146325","LOC146325","void","1"
"LOC162073","1","cogdnotxad","rosmap","LOC162073","LOC162073","void","1"
"LOC283867","1","cogdnotxad","rosmap","LOC283867","LOC283867","void","1"
"LOC283871","1","cogdnotxad","rosmap","LOC283871","LOC283871","void","1"
"LOC283902","1","cogdnotxad","rosmap","LOC283902","LOC283902","void","1"
"LOC283951","1","cogdnotxad","rosmap","LOC283951","LOC283951","void","1"
"LOC339123","1","cogdnotxad","rosmap","LOC339123","LOC339123","void","1"
"LOC348174-1","1","cogdnotxad","rosmap","LOC348174-1","LOC348174-1","void","1"
"LOC348174-2","1","cogdnotxad","rosmap","LOC348174-2","LOC348174-2","void","1"
"LOC388199","1","cogdnotxad","rosmap","LOC388199","LOC388199","void","1"
"LOC390667","1","cogdnotxad","rosmap","LOC390667","LOC390667","void","1"
"LOC390688-1","1","cogdnotxad","rosmap","LOC390688-1","LOC390688-1","void","1"
"LOC390748","1","cogdnotxad","rosmap","LOC390748","LOC390748","void","1"
"LOC440348","1","cogdnotxad","rosmap","LOC440348","LOC440348","void","1"
"LOC440350-1","1","cogdnotxad","rosmap","LOC440350-1","LOC440350-1","void","1"
"LOC440350-2","1","cogdnotxad","rosmap","LOC440350-2","LOC440350-2","void","1"
"LOC440350-3","1","cogdnotxad","rosmap","LOC440350-3","LOC440350-3","void","1"
"LOC440350-4","1","cogdnotxad","rosmap","LOC440350-4","LOC440350-4","void","1"
"LOC497190","1","cogdnotxad","rosmap","LOC497190","LOC497190","void","1"
"LOC646174","1","cogdnotxad","rosmap","LOC646174","LOC646174","void","1"
"LOC653319","1","cogdnotxad","rosmap","LOC653319","LOC653319","void","1"
"LOC81691","1","cogdnotxad","rosmap","LOC81691","LOC81691","void","1"
"LOC90835","1","cogdnotxad","rosmap","LOC90835","LOC90835","void","1"
"ENSG00000102910","1","cogdnotxad","rosmap","ENSG00000102910","ENSG00000102910","yellowgreen","0.6676"
"ENSG00000087253","1","cogdnotxad","rosmap","ENSG00000087253","ENSG00000087253","tan","7.401e-07"
"ENSG00000125122","1","cogdnotxad","rosmap","ENSG00000125122","ENSG00000125122","turquoise","1"
"ENSG00000159708","1","cogdnotxad","rosmap","ENSG00000159708","ENSG00000159708","lightcyan","0.8078"
"LRRC50","1","cogdnotxad","rosmap","LRRC50","LRRC50","void","1"
"ENSG00000007392","1","cogdnotxad","rosmap","ENSG00000007392","ENSG00000007392","blue","0.9971"
"LYPLA3","1","cogdnotxad","rosmap","LYPLA3","LYPLA3","void","1"
"ENSG00000102897","1","cogdnotxad","rosmap","ENSG00000102897","ENSG00000102897","steelblue","0.05112"
"ENSG00000178573","1","cogdnotxad","rosmap","ENSG00000178573","ENSG00000178573","skyblue","3.291e-06"
"Magmas","1","cogdnotxad","rosmap","Magmas","Magmas","void","1"
"ENSG00000140941","1","cogdnotxad","rosmap","ENSG00000140941","ENSG00000140941","thistle1","0.003231"
"ENSG00000102882","1","cogdnotxad","rosmap","ENSG00000102882","ENSG00000102882","floralwhite","0.6928"
"ENSG00000138834","1","cogdnotxad","rosmap","ENSG00000138834","ENSG00000138834","lightyellow","0.05217"
"ENSG00000140832","1","cogdnotxad","rosmap","ENSG00000140832","ENSG00000140832","void","1"
"ENSG00000103495","1","cogdnotxad","rosmap","ENSG00000103495","ENSG00000103495","brown4","0.5351"
"ENSG00000140943","1","cogdnotxad","rosmap","ENSG00000140943","ENSG00000140943","darkorange","0.7711"
"ENSG00000258839","1","cogdnotxad","rosmap","ENSG00000258839","ENSG00000258839","sienna3","0.005939"
"ENSG00000103313","1","cogdnotxad","rosmap","ENSG00000103313","ENSG00000103313","void","1"
"ENSG00000103260","1","cogdnotxad","rosmap","ENSG00000103260","ENSG00000103260","lightgreen","0.8457"
"ENSG00000197006","1","cogdnotxad","rosmap","ENSG00000197006","ENSG00000197006","darkturquoise","0.3335"
"MGC16385","1","cogdnotxad","rosmap","MGC16385","MGC16385","void","1"
"MGC34761","1","cogdnotxad","rosmap","MGC34761","MGC34761","void","1"
"MGC45438","1","cogdnotxad","rosmap","MGC45438","MGC45438","void","1"
"MGC4655","1","cogdnotxad","rosmap","MGC4655","MGC4655","void","1"
"ENSG00000102858","1","cogdnotxad","rosmap","ENSG00000102858","ENSG00000102858","lightyellow","0.05217"
"ENSG00000186260","1","cogdnotxad","rosmap","ENSG00000186260","ENSG00000186260","midnightblue","0.054"
"ENSG00000168404","1","cogdnotxad","rosmap","ENSG00000168404","ENSG00000168404","maroon","1.937e-05"
"ENSG00000103150","1","cogdnotxad","rosmap","ENSG00000103150","ENSG00000103150","white","0.3026"
"ENSG00000102996","1","cogdnotxad","rosmap","ENSG00000102996","ENSG00000102996","brown4","0.5351"
"ENSG00000087245","1","cogdnotxad","rosmap","ENSG00000087245","ENSG00000087245","tan","7.401e-07"
"ENSG00000008516","1","cogdnotxad","rosmap","ENSG00000008516","ENSG00000008516","void","1"
"ENSG00000103111","1","cogdnotxad","rosmap","ENSG00000103111","ENSG00000103111","grey60","1"
"MPFL","1","cogdnotxad","rosmap","MPFL","MPFL","void","1"
"ENSG00000103152","1","cogdnotxad","rosmap","ENSG00000103152","ENSG00000103152","lightgreen","0.8457"
"ENSG00000135698","1","cogdnotxad","rosmap","ENSG00000135698","ENSG00000135698","royalblue","0.0004978"
"ENSG00000261130","1","cogdnotxad","rosmap","ENSG00000261130","ENSG00000261130","ivory","5.414e-07"
"ENSG00000086504","1","cogdnotxad","rosmap","ENSG00000086504","ENSG00000086504","lightgreen","0.8457"
"ENSG00000074071","1","cogdnotxad","rosmap","ENSG00000074071","ENSG00000074071","lightsteelblue1","0.02599"
"ENSG00000102854","1","cogdnotxad","rosmap","ENSG00000102854","ENSG00000102854","tan","7.401e-07"
"ENSG00000205362","1","cogdnotxad","rosmap","ENSG00000205362","ENSG00000205362","black","2.599e-11"
"ENSG00000169688","1","cogdnotxad","rosmap","ENSG00000169688","ENSG00000169688","void","1"
"ENSG00000169715","1","cogdnotxad","rosmap","ENSG00000169715","ENSG00000169715","floralwhite","0.6928"
"ENSG00000198417","1","cogdnotxad","rosmap","ENSG00000198417","ENSG00000198417","white","0.3026"
"ENSG00000125144","1","cogdnotxad","rosmap","ENSG00000125144","ENSG00000125144","white","0.3026"
"ENSG00000205358","1","cogdnotxad","rosmap","ENSG00000205358","ENSG00000205358","darkgreen","0.9493"
"ENSG00000205364","1","cogdnotxad","rosmap","ENSG00000205364","ENSG00000205364","black","2.599e-11"
"ENSG00000187193","1","cogdnotxad","rosmap","ENSG00000187193","ENSG00000187193","black","2.599e-11"
"ENSG00000125148","1","cogdnotxad","rosmap","ENSG00000125148","ENSG00000125148","black","2.599e-11"
"ENSG00000087250","1","cogdnotxad","rosmap","ENSG00000087250","ENSG00000087250","cyan","0.7456"
