"","ensgene","name","module","mm"
"1","ENSG00000167578","RAB4B","steelblue",0.500618026682156
"2","ENSG00000078237","C12orf5","plum1",0.37293178347872
"3","ENSG00000060642","PIGV","cyan",0.400421463039164
"4","ENSG00000172137","CALB2","lavenderblush3",0.664115162216536
"5","ENSG00000167700","MFSD3","brown4",0.568397155227963
"6","ENSG00000182141","ZNF708","darkturquoise",0.560602446264777
"7","ENSG00000185105","MYADML2","cyan",0.364231383291444
"8","ENSG00000102174","PHEX","mediumpurple3",0.4045824369723
"9","ENSG00000179262","RAD23A","lightgreen",0.553142455855537
"10","ENSG00000127507","EMR2","black",0.645756090783396
"11","ENSG00000078668","VDAC3","royalblue",0.614735749000959
"12","ENSG00000095587","TLL2","blue",0.377205900936965
"13","ENSG00000182648","AC073871.2","turquoise",0.547681566383056
"14","ENSG00000101199","ARFGAP1","orange",0.70269913137025
"15","ENSG00000198963","RORB","yellowgreen",0.562575975086078
"16","ENSG00000264198","RP11-94L15.2","darkorange",0.456204517300088
"17","ENSG00000064601","CTSA","mediumpurple3",0.341606976965026
"18","ENSG00000185947","ZNF267","magenta",0.421949108989092
"19","ENSG00000008517","IL32","magenta",0.642737003915068
"20","ENSG00000088179","PTPN4","greenyellow",0.642727888823115
"21","ENSG00000196167","C11orf92","navajowhite2",0.39572346936551
"22","ENSG00000254092","RP11-369E15.3","red",0.295444766355989
"23","ENSG00000161558","TMEM143","lightgreen",0.582716429092848
"24","ENSG00000250571","GLI4","paleturquoise",0.522834457518703
"25","ENSG00000219747","RP1-292B18.1","paleturquoise",0.183318301117131
"26","ENSG00000179833","SERTAD2","palevioletred3",0.414057769787279
"27","ENSG00000165312","OTUD1","plum2",0.571949797682789
"28","ENSG00000158966","CACHD1","black",0.528608982607964
"29","ENSG00000187522","HSPA14","blue",0.552547541557662
"30","ENSG00000259659","RP11-151N17.1","darkred",0.327103161971444
"31","ENSG00000174442","ZWILCH","blue",0.722052760382816
"32","ENSG00000120662","MTRF1","green",0.604277685656865
"33","ENSG00000022567","SLC45A4","red",0.729888613827794
"34","ENSG00000125744","RTN2","red",0.644244636718261
"35","ENSG00000236104","ZBTB22","red",0.389928030819888
"36","ENSG00000225630","MTND2P28","darkgrey",0.246864005837284
"37","ENSG00000231880","KBTBD4","plum2",0.289745154204908
"38","ENSG00000013392","RWDD2A","floralwhite",0.432154652616235
"39","ENSG00000226688","ENTPD1-AS1","salmon",0.451101258979672
"40","ENSG00000184178","SCFD2","mediumpurple3",0.326205298433887
"41","ENSG00000069399","BCL3","black",0.639710306187319
"42","ENSG00000164182","NDUFAF2","darkmagenta",0.625470667021366
"43","ENSG00000258498","DIO3OS","darkred",0.344082705684016
"44","ENSG00000173566","NUDT18","turquoise",0.761753173792038
"45","ENSG00000137642","SORL1","yellowgreen",0.622623112215529
"46","ENSG00000153015","CWC27","darkmagenta",0.356395188130813
"47","ENSG00000036448","MYOM2","darkolivegreen",0.344314405388404
"48","ENSG00000256885","AP001877.1","yellow",0.374547489075702
"49","ENSG00000185269","NOTUM","skyblue",0.579071653741207
"50","ENSG00000164114","MAP9","darkred",0.659358294826856
"51","ENSG00000179632","MAF1","darkorange",0.685964578293198
"52","ENSG00000114861","FOXP1","darkred",0.540688692365448
"53","ENSG00000152942","RAD17","thistle2",0.326394179395322
"54","ENSG00000162290","DCP1A","paleturquoise",0.502615396639128
"55","ENSG00000133134","BEX2","royalblue",0.614511603681105
"56","ENSG00000100968","NFATC4","brown4",0.387796552366118
"57","ENSG00000085721","RRN3","darkorange",0.262030566855431
"58","ENSG00000073711","PPP2R3A","purple",0.404196237935907
"59","ENSG00000136169","SETDB2","honeydew1",0.406980829235086
"60","ENSG00000121644","DESI2","plum2",0.426634863217245
"61","ENSG00000138495","COX17","darkmagenta",0.688565895635683
"62","ENSG00000111863","ADTRP","violet",0.526666988715585
"63","ENSG00000103037","SETD6","honeydew1",0.48021535455767
"64","ENSG00000127564","PKMYT1","lightcyan",0.302362103841178
"65","ENSG00000123444","KBTBD4","floralwhite",0.384547984002695
"66","ENSG00000176973","FAM89B","red",0.522790427395802
"67","ENSG00000196381","ZNF781","lightcyan1",0.187792467274159
"68","ENSG00000112511","PHF1","brown4",0.507395074271755
"69","ENSG00000111669","TPI1","sienna3",0.548862205104384
"70","ENSG00000159915","ZNF233","greenyellow",0.223712802206268
"71","ENSG00000143248","RGS5","skyblue",0.716809830306374
"72","ENSG00000144504","ANKMY1","turquoise",0.650548806598168
"73","ENSG00000164116","GUCY1A3","salmon",0.563349876324827
"74","ENSG00000138669","PRKG2","salmon",0.574481630289921
"75","ENSG00000142507","PSMB6","lightsteelblue1",0.417056403613042
"76","ENSG00000174013","FBXO45","grey60",0.635504310519059
"77","ENSG00000170419","VSTM2A","darkgreen",0.632367160130072
"78","ENSG00000106069","CHN2","pink",0.746875826580319
"79","ENSG00000176928","GCNT4","greenyellow",0.569459123188574
"80","ENSG00000241728","AP001062.8","brown",0.349644328058854
"81","ENSG00000101158","NELFCD","darkorange",0.29243175620529
"82","ENSG00000150773","PIH1D2","turquoise",0.454120746560274
"83","ENSG00000143033","MTF2","blue",0.69288145478996
"84","ENSG00000033030","ZCCHC8","darkorange",0.472365034430114
"85","ENSG00000083857","FAT1","lightcyan1",0.714776411714884
"86","ENSG00000161896","IP6K3","pink",0.59790604095778
"87","ENSG00000267083","AC079005.2","paleturquoise",0.484999640132541
"88","ENSG00000239415","AP001469.9","grey60",0.487775117804107
"89","ENSG00000260729","RP11-106M3.2","lightcyan",0.288363081533517
"90","ENSG00000258517","RP6-91H8.1","darkorange",0.213488532846534
"91","ENSG00000166986","MARS","plum2",0.548588349878241
"92","ENSG00000205362","MT1A","black",0.77614215287265
"93","ENSG00000150316","CWC15","darkmagenta",0.613025395574687
"94","ENSG00000168404","MLKL","maroon",0.69611728891
"95","ENSG00000160229","ZNF66","grey60",0.329100288690765
"96","ENSG00000111641","NOP2","brown",0.56903112843443
"97","ENSG00000203780","FANK1","lightgreen",0.351283478923172
"98","ENSG00000266677","RP11-258F1.1","magenta",0.691601069927425
"99","ENSG00000127329","PTPRB","salmon4",0.784146848406216
"100","ENSG00000144199","FAHD2B","turquoise",0.757180548583082
"101","ENSG00000143183","TMCO1","lightcyan",0.437406125498273
"102","ENSG00000108774","RAB5C","darkorange2",0.414742550415599
"103","ENSG00000235944","ZNF815P","lightgreen",0.368611627341842
"104","ENSG00000198231","DDX42","blue",0.731646545781443
"105","ENSG00000117139","KDM5B","lightyellow",0.45507062218387
"106","ENSG00000205220","PSMB10","lightgreen",0.52354557962697
"107","ENSG00000001460","STPG1","darkorange",0.32738560907055
"108","ENSG00000131759","RARA","darkolivegreen",0.441520467284596
"109","ENSG00000117360","PRPF3","lightcyan",0.506673313167102
"110","ENSG00000107625","DDX50","turquoise",0.47331424585263
"111","ENSG00000080031","PTPRH","bisque4",0.403501420165324
"112","ENSG00000260456","C16orf95","cyan",0.445265767659801
"113","ENSG00000106125","FAM188B","lightyellow",0.340160439132767
"114","ENSG00000227097","RP11-742N3.1","cyan",0.410414782627783
"115","ENSG00000076984","MAP2K7","brown4",0.49781509688856
"116","ENSG00000130589","HELZ2","lightpink4",0.738824790149766
"117","ENSG00000105053","VRK3","lightyellow",0.320624898330327
"118","ENSG00000121542","SEC22A","darkturquoise",0.367403023896357
"119","ENSG00000125843","AP5S1","turquoise",0.479724858002014
"120","ENSG00000233508","RP1-269M15.3","midnightblue",0.495652457556787
"121","ENSG00000117394","SLC2A1","salmon4",0.650094897440385
"122","ENSG00000173436","MINOS1","darkmagenta",0.606688169394641
"123","ENSG00000151422","FER","yellowgreen",0.540894863877011
"124","ENSG00000108270","AATF","cyan",0.364396667837653
"125","ENSG00000251615","RP11-774O3.3","lightcyan",0.214829705564446
"126","ENSG00000154258","ABCA9","darkslateblue",0.529627761879441
"127","ENSG00000169255","B3GALNT1","greenyellow",0.428830551955152
"128","ENSG00000234769","WASH4P","white",0.4614970622425
"129","ENSG00000158882","TOMM40L","cyan",0.393061195735105
"130","ENSG00000261399","LA16c-329F2.1","lightcyan",0.465829822987275
"131","ENSG00000206344","HCG27","paleturquoise",0.285682115051173
"132","ENSG00000240877","RN7SL521P","grey60",0.270476209238242
"133","ENSG00000237424","FOXD2-AS1","grey60",0.427462009952268
"134","ENSG00000177519","RPRM","darkorange",0.392327864347379
"135","ENSG00000105048","TNNT1","lightcyan1",0.34984689447932
"136","ENSG00000198888","MT-ND1","sienna3",0.264701779702649
"137","ENSG00000238276","RP11-245J24.1","lightcyan",0.48300385194339
"138","ENSG00000178075","GRAMD1C","darkorange2",0.682968833573071
"139","ENSG00000197421","GGT3P","violet",0.216389408328735
"140","ENSG00000230707","RP11-364B14.3","lightsteelblue1",0.438345020711508
"141","ENSG00000152049","KCNE4","maroon",0.455156998804331
"142","ENSG00000196227","FAM217B","yellowgreen",0.489251842686174
"143","ENSG00000175309","AGXT2L2","orange",0.420269028550876
"144","ENSG00000188186","LAMTOR4","cyan",0.436377403548341
"145","ENSG00000181649","PHLDA2","violet",0.534073562369041
