Cerebellum_Purkinje_Neuroexpresso,Cerebellum_Basket_Neuroexpresso,Cerebellum_Granule_Neuroexpresso,Cerebellum_Golgi_Neuroexpresso,Cerebellum_Microglia_Neuroexpresso,Cerebellum_MicrogliaActivation_Neuroexpresso,Cerebellum_MicrogliaDeactivation_Neuroexpresso,Cerebellum_Oligo_Neuroexpresso,Cerebellum_Bergmann_Neuroexpresso
,,,,TXNIP,FKBP5,LRBA,,
,,,,PDGFB,CASP5,LST1,,
,,,,ENTPD1,RIPK1,ETS1,,
,,,,RGS19,CCL2,CAMP,,
,,,,HPR,ZFP36,ANG,,
,,,,HP,IL17RA,TMEM140,,
,,,,PAG1,PARP14,HLA-DQA1,,
,,,,GUSB,IRGM,HLA-DQA2,,
,,,,SIPA1,MRC2,UBA7,,
,,,,FAM91A1,TLR7,LYL1,,
,,,,IRGM,IRF9,FLI1,,
,,,,GMFG,FCGR2B,SLC2A5,,
,,,,GOLM1,FCGR2C,NOTCH2NL,,
,,,,CRYBB1,FCGR2A,BATF3,,
,,,,PLA2G4A,GPR84,CTSD,,
,,,,NCKAP1L,C1QB,TEC,,
,,,,ABCA1,PMAIP1,ADRB2,,
,,,,PTPRJ,ISG20,TNFSF13B,,
,,,,MYO7A,SULT1A2,SLC15A4,,
,,,,PIK3CD,SULT1A1,CAPN3,,
,,,,ADAM17,IFIH1,MYLIP,,
,,,,ERAP1,P2RY6,IFITM1,,
,,,,ITPR2,SMAGP,CD177,,
,,,,ADAP2,VASP,CD33,,
,,,,MSN,NR4A1,SIGLEC6,,
,,,,TRPV2,TSC22D3,FGD2,,
,,,,IGSF6,PARP10,KIAA1551,,
,,,,PTBP3,BIRC3,IL10RA,,
,,,,PLCG2,TPP2,HPGDS,,
,,,,SMIM3,CXCL3,CSF1R,,
,,,,PLA2G15,CXCL2,LAIR1,,
,,,,CCRL2,RELB,LAIR2,,
,,,,TBXAS1,VAV1,TGFBR1,,
,,,,CTSC,SYK,ATF3,,
,,,,EBI3,RHOH,CD79B,,
,,,,ANXA3,RRAD,PARVG,,
,,,,DUSP6,TNF,TGFBI,,
,,,,PARP12,MAP3K8,SLC40A1,,
,,,,HAVCR2,CCL8,HLA-C,,
,,,,C1QC,CCNL1,HLA-B,,
,,,,HLA-DQB1,C1QA,MAFB,,
,,,,HLA-DQB2,TMEM173,LGMN,,
,,,,MRC1,CD53,CALHM2,,
,,,,NAIP,GEM,LAPTM5,,
,,,,HERPUD1,CD14,RGS10,,
,,,,DUSP1,PLK3,FAM111A,,
,,,,RIN2,TNFAIP2,PTPRO,,
,,,,PTGS1,HCK,MYO1G,,
,,,,TCN2,SOCS3,TCIRG1,,
,,,,PROS1,KLF10,ARHGDIB,,
,,,,ADGRE1,SH2B2,PIK3CG,,
,,,,STK26,MCL1,SLC16A6,,
,,,,CD33,NFKBIA,ELK3,,
,,,,SIGLEC6,TRAF5,ADRB1,,
,,,,AKNA,KLF4,CD2AP,,
,,,,GMIP,CCL4,ELF1,,
,,,,GCNT1,CCL15-CCL14,CEBPA,,
,,,,HLA-C,CCL15,NAALAD2,,
,,,,HLA-B,CCL23,NFAM1,,
,,,,LGALS9C,TMED5,PLD4,,
,,,,LYN,,FAM105A,,
,,,,RASSF5,,BTK,,
,,,,PBXIP1,,ABCC3,,
,,,,CYBA,,ST3GAL6,,
,,,,PTPRC,,LCN2,,
