Hippocampus_Pyramidal_Neuroexpresso,Hippocampus_Astrocyte_Neuroexpresso,Hippocampus_DentateGranule_Neuroexpresso,Hippocampus_GabaSSTRein_Neuroexpresso,Hippocampus_Oligo_Neuroexpresso,Hyppocampus_Microglia_Neuroexpresso,Hippocampus_MicrogliaDeactivation_Neuroexpresso,Hippocampus_MicrogliaActivation_Neuroexpresso
,CYP4F8,,NXPH1,NKX2-2,TMC6,PPFIA4,ISG20
,CYR61,,CYGB,KAZN,LAG3,CD300A,TMEM173
,DDHD1,,ELAVL2,TPPP3,GMFG,FOSB,CD83
,DIO2,,PAPPA,APOD,NAIP,INPP5D,RRAD
,EGFR,,DLX1,PTGDS,CASP1,RPS6KA1,SAMSN1
,ELOVL2,,CAMK1G,CHN2,AKNA,CAMP,MLXIP
,EMP2,,LYNX1,OLIG2,PON3,CAPN3,RUNX1
,ENTPD2,,SST,CTSK,C15orf39,SLC35C2,TLR6
,EPHX2,,LHX6,DDC,CASP8,HLA-G,RAB20
,EVA1A,,NNMT,PDLIM2,CCRL2,LAIR1,SLC15A3
,EZR,,RAB3B,LPAR1,FAM91A1,BLNK,LCP2
,F3,,GRPR,TRIM59,PF4,ETS1,PARP14
,FADS2,,ALK,MOBP,IER5,IRF8,IFI35
,FGD6,,PCDH18,MOG,MYO1B,PSMB9,SLA
,FGF1,,ENTPD4,TSPAN2,REL,CLEC7A,CXCL2
,FGFR3,,RPH3A,GSN,IRF5,MPEG1,SQOR
,FGFRL1,,SLC1A6,ELOVL7,TOR4A,TCIRG1,SH2B2
,FJX1,,PTPRT,SGK2,GOLM1,ARHGAP17,JMJD1C
,FKBP10,,CDH13,ADSSL1,GRN,MCM3,ZFP36
,FMO1,,LGALS1,LIMS2,RCSD1,ARHGAP9,SLC39A8
,FXYD1,,NPY,UGT8,PHYHD1,TMEM119,B4GALT1
,FZD2,,PNOC,,SRGAP2,SCAMP2,IFIH1
,GABRG1,,SLC27A2,,SNORD22,SAMHD1,TUBB6
,GDF10,,SEZ6,,GCNT1,LRRK1,PARP10
,GJB6,,GP5,,GMIP,LCN2,IRF9
,GLDC,,SYNGR1,,LY96,PARVG,SMAGP
,GLI2,,,,PPP1R15A,PTPN18,TGM2
,GLUD1,,,,NRROS,NFAM1,RHOH
,GPLD1,,,,SIPA1,HVCN1,FRRS1
,GRIN2C,,,,LCP1,PMEPA1,RNASEL
,HAPLN1,,,,SLC7A7,RGS2,CSF2RB
,HSD11B1,,,,TM6SF1,SLC40A1,FCER1G
,IGDCC4,,,,ITGB2,OLFML3,KLF10
,IGFBP2,,,,PLA2G15,SLC25A37,CD14
,ITGA7,,,,RGS1,ADCY7,FCGR2A
,ITIH5,,,,CTTNBP2NL,TMCC3,FCGR2B
,KCNN2,,,,MEF2A,SLC2A5,IER3
,KLF15,,,,PTGS1,CALHM2,EGR2
,LAMB2,,,,RBM39,CYTIP,P2RY6
,LCAT,,,,VSIR,CMTM8,CD86
,LGI4,,,,LGALS3,IVNS1ABP,MRC2
,LHX2,,,,CD300C,FMNL3,SRGN
,LMCD1,,,,IER2,TGFBI,UCP2
,LPP,,,,GGTA1P,TGFBR1,NFKBIA
,LRIG1,,,,STAT6,S100A8,TLR2
,LRP4,,,,TFPI,S100A9,NFKBIE
,MFGE8,,,,EHD4,ARHGAP4,SERPINE1
,MLC1,,,,KLF2,TGIF1,SYK
,MMP14,,,,LGALS9,RGL1,TSPO
