"InputCategories","UserDefinedCategories","Type","CorrectedPvalues"
"darkred","Cortex_MicrogliaDeactivation_Neuroexpresso__data/mar//Cortex_MicrogliaDeactivation_Neuroexpresso.txt","User",6.18409437622953e-36
"darkred","Cortex_Microglia_Neuroexpresso__data/mar//Cortex_Microglia_Neuroexpresso.txt","User",1.88972433425338e-31
"darkred","Cerebellum_Microglia_Neuroexpresso__data/mar//Cerebellum_Microglia_Neuroexpresso.txt","User",9.16025569457398e-30
"darkred","Cerebellum_MicrogliaDeactivation_Neuroexpresso__data/mar//Cerebellum_MicrogliaDeactivation_Neuroexpresso.txt","User",2.25283930893873e-27
"darkred","Hippocampus_MicrogliaDeactivation_Neuroexpresso__data/mar//Hippocampus_MicrogliaDeactivation_Neuroexpresso.txt","User",3.20954698942629e-25
"darkred","Hyppocampus_Microglia_Neuroexpresso__data/mar//Hyppocampus_Microglia_Neuroexpresso.txt","User",5.74220780516197e-23
"darkgreen","Cortex_Endothelial_Neuroexpresso__data/mar//Cortex_Endothelial_Neuroexpresso.txt","User",9.49621603716763e-17
"darkred","Cortex_MicrogliaActivation_Neuroexpresso__data/mar//Cortex_MicrogliaActivation_Neuroexpresso.txt","User",5.13055799779045e-15
"darkred","Cerebellum_MicrogliaActivation_Neuroexpresso__data/mar//Cerebellum_MicrogliaActivation_Neuroexpresso.txt","User",1.10718024383513e-14
"darkgreen","Neuroexpresso_CortexD_Endothelial__data/mar//Neuroexpresso_CortexD_Endothelial.txt","User",1.79605585250129e-14
"darkred","Hippocampus_MicrogliaActivation_Neuroexpresso__data/mar//Hippocampus_MicrogliaActivation_Neuroexpresso.txt","User",3.12940817669076e-13
"red","DARMANIS_FETAL1__data/mar//DARMANIS_FETAL1.txt","User",2.2838294014001e-12
"darkred","DAMANIS_MICROGLIA__data/mar//DAMANIS_MICROGLIA.txt","User",8.064198904691e-09
"cyan","Cortex_Microglia_Neuroexpresso__data/mar//Cortex_Microglia_Neuroexpresso.txt","User",3.85823844939537e-08
"cyan","Hyppocampus_Microglia_Neuroexpresso__data/mar//Hyppocampus_Microglia_Neuroexpresso.txt","User",4.38276642503552e-07
"cyan","Cerebellum_Microglia_Neuroexpresso__data/mar//Cerebellum_Microglia_Neuroexpresso.txt","User",5.75547826420044e-07
"cyan","Cerebellum_MicrogliaDeactivation_Neuroexpresso__data/mar//Cerebellum_MicrogliaDeactivation_Neuroexpresso.txt","User",7.85576126091732e-06
"cyan","Cortex_MicrogliaDeactivation_Neuroexpresso__data/mar//Cortex_MicrogliaDeactivation_Neuroexpresso.txt","User",1.10581634380455e-05
"royalblue","Hippocampus_MicrogliaActivation_Neuroexpresso__data/mar//Hippocampus_MicrogliaActivation_Neuroexpresso.txt","User",0.000101910230234629
"turquoise","Hippocampus_Astrocyte_Neuroexpresso__data/mar//Hippocampus_Astrocyte_Neuroexpresso.txt","User",0.000303377319353579
"darkgreen","DARMANIS_ENDOTHELIAL__data/mar//DARMANIS_ENDOTHELIAL.txt","User",0.00241470089273978
"darkgrey","Cortex_MicrogliaActivation_Neuroexpresso__data/mar//Cortex_MicrogliaActivation_Neuroexpresso.txt","User",0.0027146732107108
"turquoise","Cortex_Astrocyte_Neuroexpresso__data/mar//Cortex_Astrocyte_Neuroexpresso.txt","User",0.00763350759255908
"darkgreen","Cerebellum_Bergmann_Neuroexpresso__data/mar//Cerebellum_Bergmann_Neuroexpresso.txt","User",0.010094027785756
"cyan","Hippocampus_MicrogliaDeactivation_Neuroexpresso__data/mar//Hippocampus_MicrogliaDeactivation_Neuroexpresso.txt","User",0.0157354672623608
"royalblue","Cortex_MicrogliaActivation_Neuroexpresso__data/mar//Cortex_MicrogliaActivation_Neuroexpresso.txt","User",0.0236683116263337
"red","Cortex_OligoPrecursors_Neuroexpresso__data/mar//Cortex_OligoPrecursors_Neuroexpresso.txt","User",0.0242300986392855
"royalblue","Cerebellum_MicrogliaActivation_Neuroexpresso__data/mar//Cerebellum_MicrogliaActivation_Neuroexpresso.txt","User",0.0303836437579572
"royalblue","Cortex_Endothelial_Neuroexpresso__data/mar//Cortex_Endothelial_Neuroexpresso.txt","User",0.0312096936521428
